title,location,link
"itel PowerPulse A1160 Power-Bank 20000mAh 12W Fast Charging TypeC₦ 14,99269%",Unknown,/itel-powerpulse-a1160-power-bank-20000mah-12w-fast-charging-typec-365595706.html
"Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger₦ 26,736",Unknown,/ace-elec-50000-mah-power-banks-with-led-light-portable-super-fast-charger-348751098.html
"Apple IPhone 6 Plus 99.9%NEW 1GB RAM+16GB ROM 2915mAh Single SIM 5.5 Inch Screen Retina HD Camera 8MP Touch ID Refurbished Smartphone₦ 91,53428%",Unknown,/renewed-apple-iphone-6-plus-99.9new-1gb-ram16gb-rom-2915mah-single-sim-5.5-inch-screen-retina-hd-camera-8mp-touch-id-refurbished-smartphone-400238921.html
"Ace Elec 70,000MAh Large Capacity Portable Power Bank With 28 PCS LED Lights₦ 37,529",Unknown,/ace-elec-70000mah-large-capacity-portable-power-bank-with-28-pcs-led-lights-401686248.html
"Solar Talkers Solar Home Lighting System With FM Radio With 4pcs 2W Super Bright Bulbs₦ 75,999",Unknown,/solar-talkers-solar-home-lighting-system-with-fm-radio-with-4pcs-2w-super-bright-bulbs-46021700.html
"Ace Elec 20000 MAh Ultra Slim Portable Power Bank₦ 8,000",Unknown,/ace-elec-20000-mah-ultra-slim-portable-power-bank-239880320.html
"Ultra-Fine Fiber Multipurpose Cleaning Cloth₦ 1,99044%",Unknown,/generic-ultra-fine-fiber-multipurpose-cleaning-cloth-401921024.html
"Summer Thin Men's Fashionable Baseball Jacket Windproof Thin Jacket - Black₦ 10,98019%",Unknown,/fashion-summer-thin-mens-fashionable-baseball-jacket-windproof-thin-jacket-black-390246663.html
"1.99 Inch HD Full Touch Screen Smart Bluetooth Call Smart Watch₦ 12,90057%",Unknown,/generic-1.99-inch-hd-full-touch-screen-smart-bluetooth-call-smart-watch-388500081.html
"itel 9.5inch USB Rechargeable LED Makeup Mirror 3 Color Lighting₦ 6,80077%",Unknown,/itel-9.5inch-usb-rechargeable-led-makeup-mirror-3-color-lighting-394069365.html
"Anern Rechargeable Solar Lamp Solar Outdoor Light LED Bulb₦ 19,40054%",Unknown,/anern-rechargeable-solar-lamp-solar-outdoor-light-led-bulb-377730419.html
"Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black-One Year Warranty₦ 218,272",Unknown,/hikers-43-inch-frameless-android-smart-fhd-led-tv-black-one-year-warranty-385174476.html
"ECOFLOW 800W Alternator Charger, 3-in-1 Fast DC-DC Charger₦ 276,79973%",Unknown,/ecoflow-800w-alternator-charger-3-in-1-fast-dc-dc-charger-401065444.html
"Infinix Smart 9HD 6.7"" 4GB RAM/64GB ROM Black₦ 116,95414%",Unknown,/infinix-smart-9hd-6.7-4gb-ram64gb-rom-black-384822849.html
"Skyrun 70 Litres Double Door Top Mount Fridge (BCD-85HC) - Starry Night Black.₦ 181,7501%",Unknown,/skyrun-70-litres-double-door-top-mount-fridge-bcd-85hc-starry-night-black.-377757053.html
"XIAOMI REDMI A5 -  6.88   3GB RAM/64GB ROM  -- Lake Green₦ 98,632",Unknown,/xiaomi-redmi-a5-6.88-3gb-ram64gb-rom-lake-green-408259963.html
"Royal 32 Inches Smart LED TV (RTV32GF3H) + 1 Year Warranty₦ 161,60014%",Unknown,/royal-32-inches-smart-led-tv-rtv32gf3h-1-year-warranty-263214013.html
"SILVER CREST 2L Industrial 8500W 9525 Motor Dry Grinder Blender With 2 Jar₦ 27,280",Unknown,/silver-crest-2l-industrial-8500w-9525-motor-dry-grinder-blender-with-2-jar-398701948.html
"Nine 28cm 2 In 1 Stainless Steel Steaming Pot₦ 16,59939%",Unknown,/nine-28cm-2-in-1-stainless-steel-steaming-pot-399335598.html
"Maltina Classic Can 33cl x 24₦ 14,3096%",Unknown,/classic-can-33cl-x-24-maltina-mpg1662287.html
